Company Name,Email,Phone No,URL,Address,Status
Advanced Electronics Co,info@.barman-chaudry.com,,https://www.date-ganguly.org | https://www.barad-dutta.info,2393495541,Incomplete
Bangalore Chemicals Traders,,,https://www.mohan.org,"Plot 113, @@@ Bangalore",Suspicious
Global Education Ltd,,+919068212356,https://www.varty.com,Plot 123 Building B City Noida,Incomplete
Ducimus Tempora Ltd,contact@saini-palla.com.com,+9149827706,https://www.shukla-jaggi.biz | https://www.mall.biz,"Plot 347, GIDC Area, Kolkata, 497080",Complete
Leading It Services Pvt Ltd,contact@mane.com.com,+919646412689,https://www.leading.com,Plot 102  Near Railway Station  Nashik,Complete
Ipsum Modi Corporation,contact@kalita.com.com,+01147090293,https://company4553,"Plot 111, Indore",Complete
Prime It Services Corporation,contact@tak.info.com,+919381469012,https://www.anand-suri.com,03967188647,Complete
Ut Dolorum Co,info@ut.com,+919882403818,https://www.ut.com,,Complete
Delhi Chemicals Enterprises,contact@ratti.com.com,+01148375710,https://www.lala-babu.com,4484093370,Complete
Facilis Culpa Corporation,,+919731980933,https://htp://www.kade.biz,,Incomplete
Professional Engineering Industries,contact@narang.com.com,+919818739736,https://www.nagi.com,Plot 489  Near Railway Station  Indore,Complete
Mumbai Electronics Co,,+919062196678,https://www.chaudhuri.com,Plot 485  Near Railway Station  Delhi,Incomplete
Asperiores Quia Traders,info@.goda.net,+01146264956,https://www.bakshi.com,Plot 232  Near Railway Station  Delhi,Complete
Mumbai Export Private Limited,info@mumbai.com,+919760038427,https://www.swamy.com | https://www.bobal.org,"Plot 118, GIDC Area, Chennai, 408834",Complete
Delhi Trading Inc,contact@sura.com.com,+919142068763,https://www.murty-prashad.com | https://www.pau.com,Plot 296  Near Railway Station  Ahmedabad,Complete
Chennai Electronics Ltd,,,https://7501419856,info@.sabharwal-hans.com,Suspicious
At Natus Co,contact@mani.net.com,+919204235259,https://htp://www.sen-ram.com,Plot 123 Building B City Bangalore,Complete
Ahmedabad Chemicals Ltd,,,,info@ahmedabad.com,Suspicious
Ahmedabad Logistics Inc,contact@bhardwaj.com.com,,https://www.vala-mangal.com,"Plot 475, @@@ Indore",Incomplete
Pune Consulting Traders,,,https://www.desai.com,"Plot 112, @@@ Mumbai",Suspicious
Vero Rem Pvt Ltd,info@vero.com,+919511947770,https://htp://www.bassi.biz,,Complete
Praesentium Reprehenderit Enterprises,contact@sami.net.com,+01145271130,https://www.bhargava.com,"Plot 203, @@@ Bangalore",Complete
Ahmedabad Construction Solutions,info@.peri.com,+919604509817,https://www.ahmedabad.com,"Plot 276, GIDC Area, Mumbai, 427938",Complete
Smart Retail Ltd,,+919470497096,,Plot 361  Near Railway Station  Kolkata,Suspicious
Ab Distinctio Corporation,contact@bath-basu.net.com,+919123940587,https://www.ab.com,3597096394,Complete
